dataset,mode,lang,axis,metric,mean,median,std,n_queries
hard_queries,dense_only,en,exclusion_extended,facet_present_macro,0.9444444444444445,,,6
hard_queries,dense_only,en,exclusion_extended,facet_conjunctive_macro,0.8888888888888888,,,6
hard_queries,dense_only,en,exclusion_extended,exclusion_clean_at_k,0.9166666666666666,,,6
hard_queries,dense_only,en,lessons_wildcard,facet_present_macro,0.8333333333333334,,,6
hard_queries,dense_only,en,lessons_wildcard,facet_conjunctive_macro,0.8333333333333334,,,6
hard_queries,dense_only,en,longitudinal,facet_present_macro,1.0,,,1
hard_queries,dense_only,en,longitudinal,facet_conjunctive_macro,1.0,,,1
hard_queries,dense_only,en,multi_omics,facet_present_macro,0.16666666666666666,,,2
hard_queries,dense_only,en,multi_omics,facet_conjunctive_macro,0.16666666666666666,,,2
hard_queries,dense_only,en,multi_organism,facet_present_macro,0.8333333333333333,,,2
hard_queries,dense_only,en,multi_organism,facet_conjunctive_macro,0.6666666666666666,,,2
hard_queries,dense_only,en,negation,facet_present_macro,0.8333333333333333,,,2
hard_queries,dense_only,en,negation,facet_conjunctive_macro,0.8333333333333333,,,2
hard_queries,dense_only,en,negation,exclusion_clean_at_k,0.75,,,2
hard_queries,dense_only,en,paired_multi_tissue,facet_present_macro,0.6666666666666666,,,2
hard_queries,dense_only,en,paired_multi_tissue,facet_conjunctive_macro,0.6666666666666666,,,2
hard_queries,dense_only,ko,ALL,facet_present_macro,0.7159863945578232,0.6666666666666666,0.31040094004217234,49
hard_queries,dense_only,ko,ALL,facet_conjunctive_macro,0.6989795918367347,0.6666666666666666,0.32244826200442556,49
hard_queries,dense_only,ko,ALL,exclusion_clean_at_k,0.7272727272727273,0.8,0.2863275590549749,11
hard_queries,dense_only,ko,abbrev_ambiguous,facet_present_macro,0.5555555555555555,,,6
hard_queries,dense_only,ko,abbrev_ambiguous,facet_conjunctive_macro,0.5555555555555555,,,6
hard_queries,dense_only,ko,abbrev_ambiguous,exclusion_clean_at_k,1.0,,,2
hard_queries,dense_only,ko,abbrev_standard,facet_present_macro,0.8333333333333334,,,6
hard_queries,dense_only,ko,abbrev_standard,facet_conjunctive_macro,0.8333333333333334,,,6
hard_queries,dense_only,ko,abbrev_tcga,facet_present_macro,0.6,,,5
hard_queries,dense_only,ko,abbrev_tcga,facet_conjunctive_macro,0.6,,,5
hard_queries,dense_only,ko,abbrev_tcga,exclusion_clean_at_k,0.6,,,1
hard_queries,dense_only,ko,cardinality_and,facet_present_macro,0.7916666666666666,,,6
hard_queries,dense_only,ko,cardinality_and,facet_conjunctive_macro,0.7916666666666666,,,6
hard_queries,dense_only,ko,celltype_x_tissue,facet_present_macro,0.5,,,2
hard_queries,dense_only,ko,celltype_x_tissue,facet_conjunctive_macro,0.5,,,2
hard_queries,dense_only,ko,dose_response,facet_present_macro,1.0,,,1
hard_queries,dense_only,ko,dose_response,facet_conjunctive_macro,1.0,,,1
hard_queries,dense_only,ko,dual_disease,facet_present_macro,0.75,,,2
hard_queries,dense_only,ko,dual_disease,facet_conjunctive_macro,0.5,,,2
hard_queries,dense_only,ko,exclusion_extended,facet_present_macro,0.9444444444444445,,,6
hard_queries,dense_only,ko,exclusion_extended,facet_conjunctive_macro,0.8888888888888888,,,6
hard_queries,dense_only,ko,exclusion_extended,exclusion_clean_at_k,0.65,,,6
hard_queries,dense_only,ko,lessons_wildcard,facet_present_macro,0.7777777777777778,,,6
hard_queries,dense_only,ko,lessons_wildcard,facet_conjunctive_macro,0.7777777777777778,,,6
hard_queries,dense_only,ko,longitudinal,facet_present_macro,0.5,,,1
hard_queries,dense_only,ko,longitudinal,facet_conjunctive_macro,0.5,,,1
hard_queries,dense_only,ko,multi_omics,facet_present_macro,0.16666666666666666,,,2
hard_queries,dense_only,ko,multi_omics,facet_conjunctive_macro,0.16666666666666666,,,2
hard_queries,dense_only,ko,multi_organism,facet_present_macro,0.8333333333333333,,,2
hard_queries,dense_only,ko,multi_organism,facet_conjunctive_macro,0.8333333333333333,,,2
hard_queries,dense_only,ko,negation,facet_present_macro,0.8333333333333333,,,2
hard_queries,dense_only,ko,negation,facet_conjunctive_macro,0.8333333333333333,,,2
hard_queries,dense_only,ko,negation,exclusion_clean_at_k,0.75,,,2
hard_queries,dense_only,ko,paired_multi_tissue,facet_present_macro,0.5,,,2
hard_queries,dense_only,ko,paired_multi_tissue,facet_conjunctive_macro,0.5,,,2
hard_queries,rrf,en,ALL,facet_present_macro,0.8231292517006803,1.0,0.2638631612682921,49
hard_queries,rrf,en,ALL,facet_conjunctive_macro,0.7789115646258503,1.0,0.2962114429534319,49
hard_queries,rrf,en,ALL,exclusion_clean_at_k,0.8272727272727273,0.9,0.2561636873382795,11
hard_queries,rrf,en,abbrev_ambiguous,facet_present_macro,0.7222222222222222,,,6
