dataset,mode,lang,axis,metric,mean,median,std,n_queries,n_planned,n_success,n_failure,n_zero_result
hard_queries,bm25_only,ko,paired_multi_tissue,facet_conjunctive_macro,0.6666666666666666,0.6666666666666666,0.33333333333333337,2,2,2,0,0
hard_queries,dense_only,en,ALL,facet_present_macro,0.7891156462585034,1.0,0.26518617557176366,49,49,49,0,0
hard_queries,dense_only,en,ALL,facet_conjunctive_macro,0.772108843537415,1.0,0.2836110634630061,49,49,49,0,0
hard_queries,dense_only,en,ALL,exclusion_clean_at_k,0.8181818181818182,1.0,0.2289032420366213,11,49,49,0,0
hard_queries,dense_only,en,abbrev_ambiguous,facet_present_macro,0.75,0.6666666666666666,0.18633899812498247,6,6,6,0,0
hard_queries,dense_only,en,abbrev_ambiguous,facet_conjunctive_macro,0.75,0.6666666666666666,0.18633899812498247,6,6,6,0,0
hard_queries,dense_only,en,abbrev_ambiguous,exclusion_clean_at_k,1.0,1.0,0.0,2,6,6,0,0
hard_queries,dense_only,en,abbrev_standard,facet_present_macro,0.8888888888888888,1.0,0.15713484026367724,6,6,6,0,0
hard_queries,dense_only,en,abbrev_standard,facet_conjunctive_macro,0.8888888888888888,1.0,0.15713484026367724,6,6,6,0,0
hard_queries,dense_only,en,abbrev_tcga,facet_present_macro,0.6,0.6666666666666666,0.24944382578492943,5,5,5,0,0
hard_queries,dense_only,en,abbrev_tcga,facet_conjunctive_macro,0.6,0.6666666666666666,0.24944382578492943,5,5,5,0,0
hard_queries,dense_only,en,abbrev_tcga,exclusion_clean_at_k,0.5,0.5,0.0,1,5,5,0,0
hard_queries,dense_only,en,cardinality_and,facet_present_macro,0.8333333333333334,1.0,0.2545875386086578,6,6,6,0,0
hard_queries,dense_only,en,cardinality_and,facet_conjunctive_macro,0.8333333333333334,1.0,0.2545875386086578,6,6,6,0,0
hard_queries,dense_only,en,celltype_x_tissue,facet_present_macro,0.5,0.5,0.25,2,2,2,0,0
hard_queries,dense_only,en,celltype_x_tissue,facet_conjunctive_macro,0.5,0.5,0.25,2,2,2,0,0
